victim_id,circumstances_id,justifiable_force_id
95073522,6,
91957949,9,
92931387,1,
93980872,6,
92412798,2,
91037125,1,
92932393,9,
92412213,9,
92410490,9,
100309268,2,
93980643,17,
93979559,1,
93979560,1,
100816212,10,
99229121,6,
95073622,6,
94470974,9,
91526948,1,
91037134,2,
91527967,1,
91957713,6,
96875059,6,
92932471,6,
91526805,1,
99664450,9,
99664450,1,
91528036,2,
91957943,1,
95555328,1,
92412221,6,
90592836,1,
95556053,9,
93506329,1,
90592863,1,
92412280,1,
92412151,1,
91037858,1,
100816331,10,
95074197,8,
95074197,1,
91527864,1,
95074198,8,
95074198,1,
92412214,1,
95555194,6,
92932642,1,
91957102,9,
94470869,10,
96874629,1,
95074143,1,
93506272,1,
95555336,6,
95555242,1,
93506790,2,
93506723,6,
93981869,1,
94470919,10,
95556005,1,
97647108,9,
97646484,9,
97646485,9,
91037341,1,
91526840,2,
