offense_type_id,offense_code,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name
58,23*,Not Specified,Property,N,Y,06,Larceny/Theft Offenses
1,09C,Justifiable Homicide,Not a Crime,N,N,,Homicide Offenses
2,26A,False Pretenses/Swindle/Confidence Game,Property,Y,Y,,Fraud Offenses
3,36B,Statutory Rape,Person,N,Y,,Sex Offenses
4,11C,Sexual Assault With An Object,Person,N,Y,02,Sex Offenses
5,290,Destruction/Damage/Vandalism of Property,Property,N,Y,11,Destruction/Damage/Vandalism of Property
6,90F,"Family Offenses, Nonviolent",Person,N,N,,
7,23G,Theft of Motor Vehicle Parts or Accessories,Property,N,N,,Larceny/Theft Offenses
8,370,Pornography/Obscene Material,Society,N,Y,,Pornography/Obscene Material
9,39D,Sports Tampering,Society,N,Y,,Gambling Offenses
10,90D,Driving Under the Influence,Society,N,N,,
11,250,Counterfeiting/Forgery,Property,N,Y,,Counterfeiting/Forgery
12,26D,Welfare Fraud,Property,N,Y,,Fraud Offenses
13,23A,Pocket-picking,Property,N,N,,Larceny/Theft Offenses
14,23F,Theft From Motor Vehicle,Property,Y,N,,Larceny/Theft Offenses
15,40B,Assisting or Promoting Prostitution,Society,N,Y,,Prostitution Offenses
16,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses
17,26E,Wire Fraud,Property,Y,Y,,Fraud Offenses
18,23B,Purse-snatching,Property,N,N,,Larceny/Theft Offenses
19,90I,Runaway,Not a Crime,N,N,,
20,200,Arson,Property,N,Y,08,Arson
21,240,Motor Vehicle Theft,Property,Y,Y,07,Motor Vehicle Theft
22,90E,Drunkenness,Society,N,N,,
23,23C,Shoplifting,Property,N,N,,Larceny/Theft Offenses
24,39B,Operating/Promoting/Assisting Gambling,Society,N,Y,,Gambling Offenses
25,90A,Bad Checks,Property,N,N,,
26,210,Extortion/Blackmail,Property,Y,Y,,Extortion/Blackmail
27,13A,Aggravated Assault,Person,N,Y,04,Assault Offenses
28,280,Stolen Property Offenses,Property,N,Y,,Stolen Property Offenses
29,100,Kidnapping/Abduction,Person,N,Y,,Kidnapping/Abduction
30,40A,Prostitution,Society,N,Y,,Prostitution Offenses
31,39A,Betting/Wagering,Society,N,Y,,Gambling Offenses
32,09A,Murder and Nonnegligent Manslaughter,Person,N,Y,01,Homicide Offenses
33,90H,Peeping Tom,Person,N,N,,
34,90J,Trespass of Real Property,Society,N,N,,
35,35B,Drug Equipment Violations,Society,N,Y,,Drug/Narcotic Offenses
36,11A,Rape,Person,N,Y,02,Sex Offenses
37,270,Embezzlement,Property,Y,Y,,Embezzlement
38,09B,Negligent Manslaughter,Person,N,Y,,Homicide Offenses
39,520,Weapon Law Violations,Society,N,Y,,Weapon Law Violations
40,120,Robbery,Property,Y,Y,03,Robbery
41,26B,Credit Card/Automated Teller Machine Fraud,Property,Y,Y,,Fraud Offenses
42,90B,Curfew/Loitering/Vagrancy Violations,Society,N,N,,
43,11B,Sodomy,Person,N,Y,02,Sex Offenses
44,13C,Intimidation,Person,N,Y,10,Assault Offenses
45,23H,All Other Larceny,Property,Y,N,,Larceny/Theft Offenses
46,26C,Impersonation,Property,Y,Y,,Fraud Offenses
47,23D,Theft From Building,Property,Y,N,,Larceny/Theft Offenses
48,90Z,All Other Offenses,Society,N,N,,
49,220,Burglary/Breaking & Entering,Property,Y,Y,05,Burglary/Breaking & Entering
50,23E,Theft From Coin-Operated Machine or Device,Property,N,N,,Larceny/Theft Offenses
51,13B,Simple Assault,Person,N,Y,09,Assault Offenses
52,90G,Liquor Law Violations,Society,N,N,,
53,90C,Disorderly Conduct,Society,N,N,,
54,39C,Gambling Equipment Violation,Society,N,Y,,Gambling Offenses
55,36A,Incest,Person,N,Y,,Sex Offenses
56,11D,Fondling,Person,N,Y,02,Sex Offenses
57,510,Bribery,Property,Y,Y,,Bribery
59,64A,"Human Trafficking, Commercial Sex Acts",Person,N,Y,,Human Trafficking
60,64B,"Human Trafficking, Involuntary Servitude",Person,N,Y,,Human Trafficking
61,40C,Purchasing Prostitution,Society,N,Y,,Prostitution Offenses
63,26F,Identity Theft,Property,N,Y,,Fraud Offenses
64,26G,Hacking/Computer Invasion,Property,N,Y,,Fraud Offenses
62,720,Animal Cruelty,Society,N,N,,Animal Cruelty
